CityID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Salalah,OM,21.2,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
5,Rocha,UY,18.9,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
6,Bluff,NZ,11.0,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
11,Irbil,IQ,6.9,clear sky,36.1926,44.0106,Erbil International Hotel
14,Kununurra,AU,24.99,broken clouds,-15.7667,128.7333,Hotel Kununurra
17,Ponta Do Sol,PT,17.35,scattered clouds,32.6667,-17.1,Hotel do Campo
18,Cape Town,ZA,21.72,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
24,Port Elizabeth,ZA,23.16,overcast clouds,-33.918,25.5701,39 On Nile Guest House
25,Kruisfontein,ZA,22.28,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
32,Punta Arenas,CL,14.06,scattered clouds,-53.15,-70.9167,Hotel Hain
34,Mataura,NZ,10.82,overcast clouds,-46.1927,168.8643,Ellie's Villa
43,Fortuna,US,19.4,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
44,Sterling,US,16.0,broken clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
46,New Norfolk,AU,13.84,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
48,Mengcheng,CN,5.47,overcast clouds,33.2579,116.5655,Jinliang Hotel
52,Capaci,IT,11.94,clear sky,38.1711,13.2393,Hotel Sirenetta
53,Ushuaia,AR,8.81,scattered clouds,-54.8,-68.3,Albatross Hotel
59,Kaeo,NZ,19.22,overcast clouds,-35.1,173.7833,Bushido Lodge
60,Busselton,AU,13.38,clear sky,-33.65,115.3333,Observatory Guest House
62,Bandarbeyla,SO,24.48,overcast clouds,9.4942,50.8122,JABIR HOTEL
64,Hermanus,ZA,20.45,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
69,Mao,ES,9.31,clear sky,39.8885,4.2658,ARTIEM Capri
76,Bozeman,US,7.68,clear sky,45.6796,-111.0386,Homewood Suites by Hilton Bozeman
77,Port Alfred,ZA,24.23,clear sky,-33.5906,26.891,The Halyards Hotel
79,Victoria,HK,18.99,overcast clouds,22.2855,114.1577,Mini Hotel Central
