CityID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Salalah,OM,17.0151,54.0924,21.2,70,2,0.68,clear sky
1,Staritsa,RU,56.5075,34.9354,-3.58,88,90,5.76,overcast clouds
2,Pevek,RU,69.7008,170.3133,-30.58,98,100,4.22,overcast clouds
3,Colon,PA,9.3592,-79.9014,34.45,64,14,5.57,few clouds
4,Tasiilaq,GL,65.6145,-37.6368,-14.74,66,100,1.81,overcast clouds
5,Rocha,UY,-34.4833,-54.3333,18.9,94,100,8.1,overcast clouds
6,Bluff,NZ,-46.6,168.3333,11.0,70,100,5.79,overcast clouds
7,Dikson,RU,73.5069,80.5464,-19.4,78,100,12.04,overcast clouds
8,Kapaa,US,22.0752,-159.319,25.18,74,40,5.14,scattered clouds
9,Saint-Philippe,RE,-21.3585,55.7679,25.75,84,28,4.97,scattered clouds
10,Cidreira,BR,-30.1811,-50.2056,25.29,71,1,8.47,clear sky
11,Irbil,IQ,36.1926,44.0106,6.9,61,0,1.54,clear sky
12,Isangel,VU,-19.55,169.2667,25.06,94,75,0.0,broken clouds
13,Atuona,PF,-9.8,-139.0333,25.38,78,4,6.22,light rain
14,Kununurra,AU,-15.7667,128.7333,24.99,100,67,0.0,broken clouds
15,Puerto Ayora,EC,-0.7393,-90.3518,30.98,84,97,3.13,overcast clouds
16,Verkhnyaya Inta,RU,65.9811,60.3094,-14.63,91,100,4.51,overcast clouds
17,Ponta Do Sol,PT,32.6667,-17.1,17.35,54,28,2.23,scattered clouds
18,Cape Town,ZA,-33.9258,18.4232,21.72,81,0,7.2,clear sky
19,Mehamn,NO,71.0357,27.8492,-4.03,80,75,9.26,light snow
20,Ketchikan,US,55.3422,-131.6461,4.99,87,100,3.6,overcast clouds
21,Lorengau,PG,-2.0226,147.2712,26.9,77,100,1.2,overcast clouds
22,Khatanga,RU,71.9667,102.5,-28.36,90,30,2.16,scattered clouds
23,Vaini,TO,-21.2,-175.2,27.09,89,20,2.06,few clouds
24,Port Elizabeth,ZA,-33.918,25.5701,23.16,94,100,2.57,overcast clouds
25,Kruisfontein,ZA,-34.0033,24.7314,22.28,90,92,3.7,overcast clouds
26,Avarua,CK,-21.2078,-159.775,27.03,78,20,1.54,few clouds
27,Lloydminster,CA,53.2835,-110.0016,-9.18,78,20,1.03,few clouds
28,Qaanaaq,GL,77.484,-69.3632,-29.26,48,0,3.79,clear sky
29,Alofi,NU,-19.0595,-169.9187,27.94,78,77,4.63,broken clouds
30,Saint-Augustin,CA,51.226,-58.6502,0.59,98,100,8.33,light snow
31,Birao,CF,10.2849,22.7882,23.2,11,28,2.92,scattered clouds
32,Punta Arenas,CL,-53.15,-70.9167,14.06,44,40,15.95,scattered clouds
33,Carnarvon,AU,-24.8667,113.6333,28.04,61,100,3.6,overcast clouds
34,Mataura,NZ,-46.1927,168.8643,10.82,91,96,1.53,overcast clouds
35,Sola,VU,-13.8833,167.55,26.51,77,99,6.09,overcast clouds
36,Mnogovershinnyy,RU,53.9353,139.9242,-15.34,98,100,1.32,overcast clouds
37,Stokmarknes,NO,68.5646,14.9108,-2.01,69,20,7.2,few clouds
38,Bubaque,GW,11.2833,-15.8333,26.35,65,1,5.54,clear sky
39,Barrow,US,71.2906,-156.7887,-35.99,100,100,3.09,overcast clouds
40,Picui,BR,-6.5106,-36.3469,30.21,40,78,6.96,broken clouds
41,La Ronge,CA,55.1001,-105.2842,-23.86,58,40,2.06,scattered clouds
42,Upernavik,GL,72.7868,-56.1549,-19.58,97,100,5.2,overcast clouds
43,Fortuna,US,40.5982,-124.1573,19.4,66,0,0.45,clear sky
44,Sterling,US,39.0062,-77.4286,16.0,47,75,5.66,broken clouds
45,Puerto El Triunfo,SV,13.2833,-88.55,30.47,56,0,5.24,clear sky
46,New Norfolk,AU,-42.7826,147.0587,13.84,63,100,1.49,overcast clouds
47,Mahebourg,MU,-20.4081,57.7,27.16,83,40,3.09,scattered clouds
48,Mengcheng,CN,33.2579,116.5655,5.47,83,100,1.34,overcast clouds
49,Ancud,CL,-41.8697,-73.8203,26.79,63,77,2.59,broken clouds
50,The Valley,AI,18.217,-63.0578,26.08,69,75,7.72,broken clouds
51,Kailua,US,21.4022,-157.7394,26.52,72,40,5.14,scattered clouds
52,Capaci,IT,38.1711,13.2393,11.94,76,0,2.06,clear sky
53,Ushuaia,AR,-54.8,-68.3,8.81,53,40,16.98,scattered clouds
54,Hilo,US,19.7297,-155.09,25.06,63,20,2.24,few clouds
55,Santa Cruz,BO,-17.8,-63.1667,29.03,54,75,8.23,moderate rain
56,Narsaq,GL,60.9167,-46.05,-2.04,98,100,0.66,snow
57,Castro,BR,-24.7911,-50.0119,25.26,57,44,2.25,scattered clouds
58,Vardo,NO,70.3705,31.1107,-3.42,69,13,6.14,few clouds
59,Kaeo,NZ,-35.1,173.7833,19.22,82,100,8.46,overcast clouds
